ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
57576544,MT,IP-050056-KNA-01,KIA,KIA,KIA CORPORATION,,E5*2007/46*1078*02,JA,F5PA1,A52DZ1,KIA,PICANTO,M1,M1,1,1415,1106,103,123,2400,1390,1402,PETROL,M,1197,61,,,,,,,P,2021,,,
57576545,MT,IP-A03ACVT_2_15_00-MMC-1,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS THAILAND,MITSUBISHI MOTORS THAILAND CO LTD,,E1*2007/46*0951*13,A00,A0411,AEBCCCB5BAAA,MITSUBISHI,SPACE STAR,M1,M1,1,1370,1091,95,114,2450,1430,1415,LPG,B,1193,59,,,,,,,P,2021,,,
57576546,MT,IP-CWUA2-KPT-1,,SSANGYONG,SSANGYONG MOTOR COMPANY,,E8*2007/46*0360*04,CW,AU2R,BUA22,SSANG YONG,KORANDO,M1,M1,1,2110,1812,144,,2675,1590,1610,DIESEL,M,1597,100,,,,,,,P,2021,,,
57576547,MT,IP-0021-JT_1-1,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0348*02,AB1,KGB40,KGB40RAHMGKW,TOYOTA,AYGO,M1,M1,1,1240,1019,93,114,2340,1430,1420,PETROL,M,998,53,,,,,,,P,2021,,,
57576548,MT,IP-E4YV12018-0032,,VOLVO,VOLVO CAR CORPORATION,,E9*2007/46*3146*08,X,XZ72,XZ72VD0,VOLVO,XC40,M1,M1,1,2180,1838,131,158,2702,1601,1626,DIESEL,M,1969,110,,,,,,,P,2021,,,
57576549,MT,IP-JDA1ADDTL4A002-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2001/116*0323*61,SR,DHD2,AD6UA1S0M0B0,DACIA,DUSTER,M1,M1,1,1855,1535,112,132,2673,1563,1570,DIESEL,M,1461,85,,E2 E2 29,,1,,,P,2021,,,
57576550,MT,IP-2019_4001-WME-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2001/116*0413*44,451,53E5X0,ZZBAA21A,SMART,EQ FORTWO,M1,M1,1,1310,1202,0,0,1873,1471,1435,ELECTRIC,E,,60,179,,,,,,P,2021,,,131
57576551,MT,IP-050056-KNA-01,KIA,KIA,KIA CORPORATION,,E5*2007/46*1078*02,JA,F5PA1,A52DZ1,KIA,PICANTO,M1,M1,1,1415,1099,103,123,2400,1390,1402,PETROL,M,1197,61,,,,,,,P,2021,,,
57576552,MT,IP-2019_536BBF-YV1-1,,VOLVO,VOLVO CAR CORPORATION,,E9*2007/46*3146*09,X,XZBB,XZBBVF0,VOLVO,XC40,M1,M1,1,2290,1921,41,49,2702,1601,1626,PETROL/ELECTRIC,P,1477,132,159,,,,,,P,2021,,,45
57576553,MT,IP-033120172-ZFA-1,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0064*53,312,PXA1A,EP0BL2,FIAT,PANDA,M1,M1,1,1440,1158,110,134,2300,1409,1407,PETROL,M,1242,51,,,,,,,P,2021,,,
